EXTERNAL/TSAI:  VERSION OF 8/8/96

#                                                                       
#                                                                       
#                                                                       
H                                                                       
Rosen07                                                                 

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  1);   avgA =   1.000; amuM=  1.007; avgM=  0.938
 targ=CRYO17 ; ttarg(rl)=0.01120; twall=0.00225; tbeam=0.00169; tspec=0.01045
         Nseg  =   2
 MODELS: P elastc(ikk)=15; deut elastic=13; inelastc=  4; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 12.50  1.00 19.00 21.10 0.853E-01  0.00  0.00  1.00108.10  0.00 54.38
 12.50  1.12 19.00 20.69 0.450E+00  0.00  0.00  1.00 14.87  0.00 10.12
 12.50  1.25 19.00 20.29 0.782E+00  0.00  0.00  1.00  6.33  0.00  5.72
 12.50  1.38 19.00 19.88 0.108E+01  0.00  0.00  1.00  3.43  0.00  4.05
 12.50  1.50 19.00 19.48 0.135E+01  0.00  0.00  1.00  2.09  0.00  3.18
 12.50  1.62 19.00 19.07 0.159E+01  0.00  0.00  1.00  1.36  0.00  2.64
 12.50  1.75 19.00 18.67 0.180E+01  0.00  0.00  1.00  0.92  0.00  2.28
 12.50  1.88 19.00 18.26 0.199E+01  0.00  0.00  1.00  0.65  0.00  2.03
 12.50  2.00 19.00 17.86 0.215E+01  0.00  0.00  1.00  0.47  0.00  1.84
 12.50  2.12 19.00 17.45 0.229E+01  0.00  0.00  1.00  0.35  0.00  1.70
 12.50  2.25 19.00 17.05 0.240E+01  0.00  0.00  1.00  0.26  0.00  1.58
 12.50  2.38 19.00 16.64 0.250E+01  0.00  0.00  1.00  0.20  0.00  1.49
 12.50  2.50 19.00 16.24 0.258E+01  0.00  0.00  1.00  0.15  0.00  1.42
 12.50  2.62 19.00 15.83 0.263E+01  0.00  0.00  1.00  0.12  0.00  1.35
 12.50  2.75 19.00 15.43 0.267E+01  0.00  0.00  1.00  0.10  0.00  1.30
 12.50  2.88 19.00 15.02 0.269E+01  0.00  0.00  1.00  0.08  0.00  1.26
 12.50  3.00 19.00 14.62 0.270E+01  0.00  0.00  1.00  0.06  0.00  1.22
 12.50  3.12 19.00 14.22 0.269E+01  0.00  0.00  1.00  0.05  0.00  1.19
 12.50  3.25 19.00 13.81 0.266E+01  0.00  0.00  1.00  0.04  0.00  1.16
 12.50  3.38 19.00 13.41 0.263E+01  0.00  0.00  1.00  0.03  0.00  1.13
 12.50  3.50 19.00 13.00 0.258E+01  0.00  0.00  1.00  0.03  0.00  1.12
 12.50  3.62 19.00 12.60 0.251E+01  0.00  0.00  1.00  0.02  0.00  1.09
 12.50  3.75 19.00 12.19 0.244E+01  0.00  0.00  1.00  0.02  0.00  1.08
 12.50  3.88 19.00 11.79 0.236E+01  0.00  0.00  1.00  0.02  0.00  1.06
